1;Toyota;Corolla;2018;9500.00;112000
2;Volkswagen;Golf;2019;13200.00;87500
3;BMW;320d;2017;18900.00;143000
4;Audi;A4;2020;24500.00;54000
5;Ford;Focus;2016;7800.00;168000
6;Mercedes-Benz;C200;2019;27000.00;61000
7;Skoda;Octavia;2021;18500.00;32000
8;Renault;Megane;2015;6200.00;195000
9;Hyundai;i30;2020;14800.00;47000
10;Kia;Ceed;2018;11300.00;98000
11;Peugeot;308;2017;8900.00;134000
12;Opel;Astra;2016;7100.00;158000
13;Mazda;6;2019;16700.00;72000
14;Honda;Civic;2021;19900.00;28000
15;Nissan;Qashqai;2018;15400.00;93000
16;Volvo;V60;2020;29500.00;41000
17;Toyota;Yaris;2022;18200.00;15000
18;Volkswagen;Passat;2017;14100.00;127000
